FederatedEngine,Query,Runtime
presto,q01.sql,2031
presto,q12.sql,2733
presto,q06.sql,1766
presto,q07.sql,3077
presto,q03.sql,2247
presto,q10.sql,3022
presto,q09.sql,3569
presto,q08.sql,4997
presto,q11.sql,3419
presto,q04.sql,2092
presto,q05.sql,3845
presto,q02.sql,4619
spark,q06.sql,2385
spark,q12.sql,7240
spark,q05.sql,37639
spark,q03.sql,13948
spark,q04.sql,19391
spark,q10.sql,8586
spark,q08.sql,40336
spark,q09.sql,49703
spark,q02.sql,7977
spark,q11.sql,12758
spark,q01.sql,50373
spark,q07.sql,19288
trino,q01.sql,1605
trino,q12.sql,1676
trino,q06.sql,1471
trino,q07.sql,2530
trino,q03.sql,1662
trino,q10.sql,1935
trino,q09.sql,2115
trino,q08.sql,2620
trino,q11.sql,1753
trino,q04.sql,1561
trino,q05.sql,3043
trino,q02.sql,3325
